"Quick and Easy Pan-Fried Flank Steak","35 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb, Paleo","A quick and easy way of cooking lean flank steak on the stovetop."
"English Muffin Tuna Melts","30 min","https://www.simplyrecipes.com/author/nick-evans/","","English Muffin Tuna Melts! If you've got the fixins for tuna salad, some cheese, and a few English Muffins, you've got dinner. With any luck, you've got dinner your kids will love, too."
"Pasta with Spinach, Artichokes and Ricotta","30 min","https://www.simplyrecipes.com/author/sally-vargas/","Vegetarian","There are never enough pasta recipes, right? Here's a quick one that combines creamy ricotta, spinach, and artichoke hearts, topped a crunchy mix of breadcrumbs and almonds."
"Chicken Tikka Masala","35 min","https://www.simplyrecipes.com/author/lisa-lin/","Gluten-Free","This easy stovetop Chicken Tikka Masala tastes just like your favorite Indian take-out and is ready in under an hour. Leftovers are even better the next day!"
"Puerto Rican Salmorejo (Stewed Crab and Tomatoes with Rice)","30 min","https://www.simplyrecipes.com/author/marta-rivera/","","Puerto Rican Salmorejo de Jueyes is a treat for anyone who loves crab! Traditionally an all-day family affair, buying lump crab meat means you can have this hearty stew and rice on the table in about a half an hour."
"Italian Grilled Cheese Sandwiches","30 min","https://www.simplyrecipes.com/author/nick-evans/","","Italian Grilled Cheese Sandwiches! Italian sub, meet your friend, grilled cheese!  This is a gooey match made in heaven: three kinds of Italian deli meat, provolone, and buttery toasted bread."
"Beef and Broccoli Ramen Stir Fry","25 min","https://www.simplyrecipes.com/author/nick-evans/","","A Chinese takeout favorite—beef with broccoli—cooked with ramen noodles means this is one completely filling meal. And it's on the table in less than 30 minutes!"
"Chicken Piccata","20 min","https://www.simplyrecipes.com/author/elise-bauer/","","Easy Chicken Piccata! Takes 20 minutes to make. Chicken breast cutlets, dredged in flour, browned, served with sauce of butter, lemon juice, capers, and stock or wine."
"Easy Grilled Salmon","45 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb, Paleo","Here's an easy way to grill salmon without the fish sticking to the grates. Promise! And mix up your approach with 4 different marinades while you're at it."
"Quick Easy Fish Stew","30 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb","Quick, easy, and absolutely delicious fish stew! Fresh fish fillets cooked in a stew with onions, garlic, parsley, tomato, clam juice and white wine."
"Poached Salmon","15 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb, Paleo","Poach delicious salmon steaks or fillets in only 15 minutes! Salmon poached in white wine, seasoned with fresh dill."
"Pan-Fried London Broil Steak","25 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb","London Broil - Top round steak, seasoned with dry mustard, salt, pepper, and rubbed with butter, pan fried to brown, then finished in the oven if necessary with thicker cuts."
"Mom’s Ground Turkey and Peppers","30 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb, Paleo","This 1-pot ground turkey and peppers recipe is quick and easy! Sautéed ground turkey with onions, garlic, bell peppers, and seasoned with chipotle chili."
"Shrimp Scampi","15 min","https://www.simplyrecipes.com/author/elise-bauer/","Gluten-Free, Low Carb, Paleo","Quick and easy shrimp scampi. Shrimp sautéed in easy scampi sauce with garlic, butter, olive oil, and white wine, tossed with red pepper flakes and parsley."
"Hamburger and Macaroni","25 min","https://www.simplyrecipes.com/author/elise-bauer/","","Hamburger and Macaroni! Others call it goulash or even American chop suey. Whatever you call it, it's great for a midweek meal. Browned ground beef cooked in a tomato onion sauce, mixed in with elbow macaroni. So good!"
"Baked Cod with Ritz Cracker Topping","30 min","https://www.simplyrecipes.com/author/elise-bauer/","","Baked white fish, such as cod, haddock, scrod, hake or bass, baked with a buttery Ritz cracker crust."
"Pepperoni Pizza Penne Pasta","35 min","https://www.simplyrecipes.com/author/nick-evans/","","Eat Your Food! Think of pepperoni pizza, but as pasta! Kid-friendly, and parents can add some extra spice to their bowls with a crunchy breadcrumb topping."
"Smoked Salmon Pasta","40 min","https://www.simplyrecipes.com/author/elise-bauer/","","Smoked salmon with pasta in a sauce of shallots, garlic, white wine, lemon, and cream, with toasted pine nuts and parsley."
